Sigla,Código,Município,Produção -  arroz (1985),Produção -  cana-de-açúcar (1985),Produção -  mandioca (1985),
GO,5219001,Sanclerlândia,2160,13550,750,
GO,5219100,Santa Bárbara de Goiás,780,4150,560,
GO,5219209,Santa Cruz de Goiás,1800,4480,240,
GO,5219258,Santa Fé de Goiás,,,,
GO,5219308,Santa Helena de Goiás,1480,587900,800,
GO,5219357,Santa Isabel,1560,2925,600,
GO,5219407,Santa Rita do Araguaia,1200,1400,450,
GO,5219456,Santa Rita do Novo Destino,,,,
GO,5219506,Santa Rosa de Goiás,960,1125,375,
GO,5219605,Santa Tereza de Goiás,4758,2150,750,
GO,5219704,Santa Terezinha de Goiás,1950,3700,450,
GO,5219712,Santo Antônio da Barra,,,,
GO,5219738,Santo Antônio de Goiás,,,,
GO,5219753,Santo Antônio do Descoberto,360,6240,950,
GO,5219803,São Domingos,700,3450,660,
GO,5219902,São Francisco de Goiás,1500,75600,1200,
GO,5220009,São João d'Aliança,3740,11400,1500,
GO,5220058,São João da Paraúna,,,,
GO,5220108,São Luís de Montes Belos,2310,4350,2850,
GO,5220157,São Luíz do Norte,,,,
GO,5220207,São Miguel do Araguaia,21000,1375,2400,
GO,5220264,São Miguel do Passa Quatro,,,,
GO,5220280,São Patrício,,,,
GO,5220405,São Simão,144,3600,600,
GO,5220454,Senador Canedo,,,,
GO,5220504,Serranópolis,8250,336330,2000,
GO,5220603,Silvânia,3740,3300,840,
GO,5220686,Simolândia,,,,
GO,5220702,Sítio d'Abadia,1200,2600,600,
GO,5221007,Taquaral de Goiás,1984,3500,2000,
GO,5221080,Teresina de Goiás,,,,
GO,5221197,Terezópolis de Goiás,,,,
GO,5221304,Três Ranchos,190,640,250,
GO,5221403,Trindade,3822,7600,1800,
GO,5221452,Trombas,,,,
GO,5221502,Turvânia,3750,2500,450,
GO,5221551,Turvelândia,,,,
GO,5221577,Uirapuru,,,,
GO,5221601,Uruaçu,5618,47400,750,
GO,5221700,Uruana,3720,13200,840,
GO,5221809,Urutaí,336,2400,375,
GO,5221858,Valparaíso de Goiás,,,,
GO,5221908,Varjão,720,3440,1400,
GO,5222005,Vianópolis,4710,1900,450,
GO,5222054,Vicentinópolis,1670,300,225,
GO,5222203,Vila Boa,,,,
GO,5222302,Vila Propício,,,,
