SIGLA;CODIBGE;NOMEMUNI;IDH1991;IDH2000;HOMICIDIOS;RENDA1991;RENDA2000
GO;5217203;Piranhas;0.642;0.737;;158.149;190.724
GO;5217302;Pirenópolis;0.638;0.713;1;125.012;180.76
GO;5217401;Pires do Rio;0.683;0.785;7;195.434;311.433
GO;5217609;Planaltina;0.644;0.723;44;125.396;159.141
GO;5217708;Pontalina;0.682;0.805;2;176.627;381.289
GO;5218003;Porangatu;0.668;0.761;3;150.841;295.854
GO;5218052;Porteirão;0.6;0.724;;108.162;256.732
GO;5218102;Portelândia;0.653;0.78;1;137.037;237.931
GO;5218300;Posse;0.604;0.711;6;112.572;153.087
GO;5218391;Professor Jamil;0.638;0.736;;123.271;203.689
GO;5218508;Quirinópolis;0.688;0.78;4;205.633;243.296
GO;5218607;Rialma;0.668;0.777;1;144.959;313.301
GO;5218706;Rianápolis;0.664;0.759;;133.23;231.535
GO;5218789;Rio Quente;0.672;0.806;;135.582;379.328
GO;5218805;Rio Verde;0.702;0.807;28;220.782;339.813
GO;5218904;Rubiataba;0.649;0.748;;137.293;201.809
GO;5219001;Sanclerlândia;0.643;0.734;2;124.971;172.19
GO;5219100;Santa Bárbara de Goiás;0.636;0.733;;114.582;172.848
GO;5219209;Santa Cruz de Goiás;0.693;0.782;;145.221;261.523
GO;5219258;Santa Fé de Goiás;0.624;0.714;;146.991;157.142
GO;5219308;Santa Helena de Goiás;0.686;0.747;7;201.465;220.851
GO;5219357;Santa Isabel;0.665;0.72;;132.336;157.424
GO;5219407;Santa Rita do Araguaia;0.682;0.756;;206.31;208.767
GO;5219456;Santa Rita do Novo Destino;0.59;0.684;1;91.598;139.489
GO;5219506;Santa Rosa de Goiás;0.655;0.715;;153.728;165.587
GO;5219605;Santa Tereza de Goiás;0.624;0.729;1;119.259;189.885
GO;5219704;Santa Terezinha de Goiás;0.652;0.721;3;160.599;158.745
GO;5219712;Santo Antônio da Barra;0.623;0.746;;124.649;168.513
GO;5219738;Santo Antônio de Goiás;0.651;0.749;;95.997;215.349
GO;5219753;Santo Antônio do Descoberto;0.661;0.709;27;133.677;141.711
GO;5219803;São Domingos;0.549;0.631;2;83.04;106.031
GO;5219902;São Francisco de Goiás;0.635;0.726;;105.543;169.986
GO;5220009;São João d'Aliança;0.629;0.718;1;107.447;193.13
GO;5220058;São João da Paraúna;0.662;0.779;;141.458;227.277
GO;5220108;São Luís de Montes Belos;0.669;0.752;;163.921;238.745
GO;5220157;São Luíz do Norte;0.593;0.71;;100.269;158.003
GO;5220207;São Miguel do Araguaia;0.656;0.737;5;159.865;222.2
GO;5220264;São Miguel do Passa Quatro;0.667;0.767;;138.485;230.391
GO;5220280;São Patrício;0.631;0.728;;123.793;160.584
GO;5220405;São Simão;0.624;0.754;3;130.732;233.652
GO;5220454;Senador Canedo;0.634;0.729;15;105.503;158.249
GO;5220504;Serranópolis;0.666;0.742;3;199.01;241.271
GO;5220603;Silvânia;0.688;0.774;1;169.716;235.352
GO;5220686;Simolândia;0.564;0.657;;67.016;112.472
GO;5220702;Sítio d'Abadia;0.53;0.643;;69.661;96.552
GO;5221007;Taquaral de Goiás;0.621;0.726;;103.235;186.408
GO;5221080;Teresina de Goiás;0.634;0.672;1;162.288;119.932
GO;5221197;Terezópolis de Goiás;0.605;0.707;;96.126;163.745
GO;5221304;Três Ranchos;0.69;0.788;;126.901;199.589
GO;5221403;Trindade;0.695;0.759;16;150.342;184.447
GO;5221452;Trombas;0.623;0.743;;84.712;140.48
GO;5221502;Turvânia;0.646;0.736;;147.202;202.136
